ダウンロードした時刻：2019/11/30 14:55:00

,東京,東京,東京,東京,東京,東京
年月日時,気温(℃),気温(℃),気温(℃),相対湿度(％),相対湿度(％),相対湿度(％)
,,品質情報,均質番号,,品質情報,均質番号
2019/1/1 1:00:00,1.4,8,1,61,8,1
2019/1/1 2:00:00,2.1,8,1,58,8,1
2019/1/1 3:00:00,1.5,8,1,59,8,1
2019/1/1 4:00:00,1.4,8,1,59,8,1
2019/1/1 5:00:00,1.1,8,1,59,8,1
2019/1/1 6:00:00,2.5,8,1,51,8,1
2019/1/1 7:00:00,1.5,8,1,53,8,1
2019/1/1 8:00:00,3.1,8,1,50,8,1
2019/1/1 9:00:00,5.8,8,1,40,8,1
2019/1/1 10:00:00,7.1,8,1,38,8,1
2019/1/1 11:00:00,8.6,8,1,33,8,1
2019/1/1 12:00:00,9.6,8,1,34,8,1
2019/1/1 13:00:00,10.2,8,1,33,8,1
2019/1/1 14:00:00,10.2,8,1,30,8,1
2019/1/1 15:00:00,9.2,8,1,45,8,1
2019/1/1 16:00:00,8.6,8,1,45,8,1
2019/1/1 17:00:00,6.4,8,1,52,8,1
2019/1/1 18:00:00,6.2,8,1,59,8,1
2019/1/1 19:00:00,6.0,8,1,60,8,1
2019/1/1 20:00:00,5.9,8,1,70,8,1
2019/1/1 21:00:00,5.6,8,1,78,8,1
2019/1/1 22:00:00,5.5,8,1,81,8,1
2019/1/1 23:00:00,4.4,8,1,77,8,1
2019/1/2 00:00:00,4.2,8,1,68,8,1
2019/1/2 1:00:00,2.7,8,1,67,8,1
2019/1/2 2:00:00,3.0,8,1,59,8,1
2019/1/2 3:00:00,2.9,8,1,61,8,1
2019/1/2 4:00:00,3.1,8,1,62,8,1
2019/1/2 5:00:00,3.3,8,1,61,8,1
2019/1/2 6:00:00,3.0,8,1,62,8,1
2019/1/2 7:00:00,4.1,8,1,60,8,1
2019/1/2 8:00:00,5.3,8,1,55,8,1
2019/1/2 9:00:00,7.3,8,1,46,8,1
2019/1/2 10:00:00,8.3,8,1,41,8,1
2019/1/2 11:00:00,9.4,8,1,39,8,1
2019/1/2 12:00:00,10.3,8,1,33,8,1
2019/1/2 13:00:00,10.4,8,1,32,8,1
2019/1/2 14:00:00,10.2,8,1,34,8,1
2019/1/2 15:00:00,9.7,8,1,36,8,1
2019/1/2 16:00:00,9.5,8,1,32,8,1
2019/1/2 17:00:00,8.2,8,1,33,8,1
2019/1/2 18:00:00,7.5,8,1,35,8,1
2019/1/2 19:00:00,6.3,8,1,39,8,1
2019/1/2 20:00:00,6.1,8,1,41,8,1
2019/1/2 21:00:00,4.8,8,1,47,8,1
2019/1/2 22:00:00,4.9,8,1,48,8,1
2019/1/2 23:00:00,4.3,8,1,51,8,1
2019/1/3 00:00:00,4.2,8,1,51,8,1
